Document ID,Document Text,Document Type,Grantors,Grantees,Legal Authorities,Acreage,Boundaries,Lot Info,City,County,Province/Colony,Execution Date,Recording Date
000001-0222,"Know all men by these Presents that I Matthew Vangilder of Strafford in the County of Hampshire and Province of the Massachusetts Bay in new England, Yeoman for and in Consideration of the sum of thirty pounds to me in hand before the signing and sealing hereof well and truly paid by John Dane of the same Town County and Province aforesaid Gentleman the Receipt whereof I do acknowledge and myself therewith fully satisfied Contented and paid Do Give Grant bargain sell Release Convey and Confirm to him the sd John Dane his Heirs and assigns one half thight of land or the hundred and thirty second part of Township of land lying west of Stockbridge and in the County of Hampshire aforesaid lately purchase of the Indian Sachems by Freeman Powell and others called Spencer Town To Have and To Hold the aforesaid Described Premises with all the Priviledges or appurtenances thereunto belonging or in any wise appertaining to him the sd John Dane his Heirs or Assigns to his or their own proper use benefit and behoof forever And the said Matthew Vangilder Do for myself my Heirs Executors or administrators Covenant Promise and Engage to and with the sd John Dane his Heirs or assigns & that before the Ensealing hereof I am the sole and lawfull owner of the above bargained Premises and am lawfully seized of the same in my own Right and have in my self good Right full power and lawfull authority to sell and Convey the same as abovesd and that the same is free and Clear from all manner of Incumbrances and that I will Warrant and Defend the same against the lawfull Claims of any Persons whatsoever. In Witness whereof I have hereto set my hand and seal this fifth Day of December and in the thirty first Year of his Majesties Reign Anno Domini 1757. [Signed] Wm Spencer Jesse Taylor Matthew Vangilder [seal] mark X Hampshire SS. December the 5th 1757 Then personally appeared the above named Matthew Vangilder the Signer and Sealer of the above written Deed and acknowledged the same to be his free act and Deed. Before me John Ashley Jun Justice Peace Recd august 30th 1758 and Recorded from the Original by Edwd Pynchon Regr",Deed,Matthew Vangilder,John Dane,"John Ashley Jun, Justice Peace, Edwd Pynchon, Register",one half thight of land or the hundred and thirty second part,lying west of Stockbridge,"part of Township of land called Spencer Town, formerly purchased from Indian Sachems by Freeman Powell and others",Strafford,Hampshire,,"December 5, 1757","August 30, 1758"
000001-0112,"Agreed to and with the said Shrimpton Hunt his Heirs and assigns in manner and form following, that is to say that the lot of land hereinafter mentioned & described situated in the District of Granville aforesaid be assigned & set to him the said Shrimpton Hunt his Heirs & assigns forever as part of his Proportion and Share in the Real Estate of his brother Thomas Hunt deceased. Namely a lot of land in said District of Granville containing fifty five acres which was assigned to the said Thomas Hunt in the Division of said land, Divided and bounded as follows (viz): Beginning at a hornbeam tree marked at the Southwest corner of land belonging to said Shrimpton Hunt to run East one Hundred Fifty Seven perch, then Southeast Degree 30 minutes East fifty Six perch thirteen feet then west one Hundred & fifty Nine perch two feet to the Northwest Corner of land belonging to said John Hunt; then North on a highway fifty Six perch thirteen feet to the first mentioned border and is part of a Tract of land Containing Seven Hundred Seventy Six acres originally laid out to John Hunt Esquire. And We the Said Rebecca Hunt John Hunt and Elizabeth Wendell for ourselves and our respective Heirs and assigns Do hereby Remise Release and forever Quit Claim unto the Said Shrimpton Hunt his Heirs and assigns all our Right Title Interest Claim and Demand whatsoever in and unto the above Described lot of land. Together with all and singular the Privileges and appurtenances thereunto belonging or appertaining. And in case any Dispute shall hereafter arise relating to the premises or any part thereof we do hereby covenant and agree to bear our proportionable part of the charges that shall arise. In Testimony that this agreement of Division and Partition shall remain firm and be held good and valid to us our respective Heirs and assigns forever we the said Rebecca Hunt John Hunt & Elizabeth Wendell have hereunto set our Hands and Seals the Day and Year first above written. Signed Sealed & Delivered in Presence of us [signatures] Rebecca Hunt (seal) John Hunt (seal) Elizabeth Wendell (seal) Suffolk ss. Boston December 25th 1753 The above Named Madam Rebecca Hunt Mr. John Hunt & Mrs. Elizabeth Wendell personally appearing severally acknowledged this Instrument by them Executed to be their Voluntary act & Deed Before me Stephen Sewall Justice of Peace. Rec'd June 9th 1758 and Recorded from the Original J. Eliot Lynchon Reg'r. Articles of agreement of Division and Partition made concluded and fully agreed upon this Tenth Day of December Anno Domini one",Deed of Partition and Quitclaim,"Rebecca Hunt, John Hunt, Elizabeth Wendell",Shrimpton Hunt,"Stephen Sewall, Justice of Peace, J. Eliot Lynchon, Register",55 acres,"Beginning at a hornbeam tree at the Southwest corner, East 157 perch, Southeast 30 minutes East 56 perch 13 feet, West 159 perch 2 feet to Northwest Corner of John Hunt's land, North on a highway 56 perch 13 feet","Part of a tract containing 776 acres originally laid out to John Hunt, Esquire",,Suffolk,,"December 10, 1753","June 9, 1758"
000001-0664,Aliese convey and confirm unto him the said Stephen Wright his Heirs said assigns forever the whole of my Right Title Interest I have as one of the proprietors of the land in the Second Precinct so called in said Northampton said Right being of the Proportion containing Forty Eight acres thirty rods of land To Have and To Hold the said granted and bargained premises with all the appurtenances privileges and commodities to the same belonging or in any wise appertaining to him the said Stephen Wright his Heirs and assigns forever to his and their only proper use benefit and behoof forever and I the said Hezekiah Wright for myself my Heirs Executors and Administrators do covenant promise and grant to and with the said Stephen Wright his Heirs and assigns that before the Ensealing hereof I am the true sole and lawful owner of the above bargained premises and am lawfully seized and possessed of the same in my own proper Right as a good perfect and absolute estate of inheritance in fee Simple And have in my self good Right full power and lawful Authority to grant bargain sell convey and confirm said bargained premises in manner as aforesaid And that the said Stephen Wright his Heirs and assigns shall and may from time to time and at all times forever hereafter by force and Virtue of these Presents lawfully Peaceably and quietly have hold use Occupy Possess and Enjoy the said Demised and bargained premises with the appurtenances free and clear and freely and clearly Acquitted Exonerated and Discharged of from all and all manner of former or other gifts grants bargains Sales Leases Mortgages Wills Entails Joyntures Dowrees judgements Executions or Incumbrances of what Name or Nature soever that Might in any Measure or Degree Obstruct or make Void this Present Deed. Furthermore I the said Hezekiah Wright for myself my Heirs Executors and administrators Do Covenant grant and Engage the above Demised Premises to him the said Stephen Wright his Heirs and assigns against the lawful Claims or Demands of any Person or Persons whatsoever forever hereafter to Warrant Secure and Defend by these presents In Witness whereof I have hereunto set my hand & Seal this Twenty third Day of July 1759 In the 33rd Year of his Majesty Reign. Signed Sealed & Delivered in Presence of Robt Wright Jun'r Hampshire July 23rd 1759 Mr. Hezekiah Wright the above Subscriber acknowledged this Instrument to be his act & Deed Before Tim'o Dwight Just'ce Peace. Rec'd July 5th 1759 and Recorded from the Original by Edw'd Pynchon Reg'r,Deed/Land Conveyance,Hezekiah Wright,Stephen Wright,"Tim'o Dwight, Justice of Peace, Edw'd Pynchon, Registrar",Forty Eight acres thirty rods,,Right in the Second Precinct of Northampton,Northampton,Hampshire,,"July 23, 1759","July 5, 1759"
000001-0842,"Quarter for Quantity & Containing one Hundred acres & is butted & bounded as follows viz. Northerly & Southerly on the Ranges, Easterly on home lot Number 4 Partly & partly on home lot Number 43 & Westerly on home lot Number 38. The Southwest Corner is a Stake and Stones from thence it Runs North (83°30') To a Stake and Stones; from thence East (87 rod) & 4 tenths of a rod to a Stake and Stones; From thence South (100 rod) to a Stake and Stones & from thence West (87 rod) to the first Mentioned Corner a High way of Two rod wide being Reserved out at the South Side of Said lot or however otherwise the Same is bounded Reference being had to Return Book of Record. To Have and to Hold the Said bargained premises with all The appurtenances Priviledges and Commodities to the Same belonging or in any Wise appertaining to him the Said Obadiah Dickinson for his Heirs & assigns Forever to his and their only proper use benefit and behoof forever and I The said Michael Shambleton for my self my Heirs Executors and administrators Do Covenant promise and Grant to and with him the Said Obadiah Dickinson His Heirs and assigns that before the Insealing hereof I am the True Sole and Lawfull owner of the above bargained premises & am lawfully Seized and Possessed of the Same in my own proper Right as a good and Absolute Estate of Inheritance in fee Simple and have in my Self Good Right full power and lawfull authority to Grant bargain Sell Convey & Confirm Said Bargained premises In Manner as aforesaid and that he the Said Obadiah Dickinson his heirs and assigns shall and may from time to time and at all times forever hereafter by force and Virtue of these presents Lawfully peaceably and quietly have hold use occupy possess & Enjoy The Said Demised and bargained premises with the appurtenances free & Clear Freely & Clearly acquitted & Discharged of from all & all manner of former or other Gift grant bargains sales mortgages wills Entails Joyntures Dowerys Judgments Executions or Incumbrances of What Name or Nature Soever that might in any measure or Degree obstruct or make void this Present Deed Furthermore I the said michael Shambleton for my Self my Heirs executors and administrators do covenant and Engage The above Demised premises to him the Said Obadiah Dickinson His heirs and assigns against the lawfull Claims or Demands If any Person or persons Whatsoever forever hereafter to Warrant Secure and Defend by these Presents In witness whereof I have hereunto Set my hand & Seal this 11 Day of April One thousand Seven Hundred & fifty nine Signed Sealed & Delivered in presence of us Wm Williams Jno Williams Michael Shambleton & Seal Hampshire SS Hatfield 14th 1759 then michael Shambleton appeared & acknowledged the within Written Instrument to be his act & Deed Wm Williams Just Paci Recd Aug 30 1759 and Recorded from the Original Eben Lyman Regr",Deed,Michael Shambleton,Obadiah Dickinson,"Wm Williams Just Paci, Eben Lyman Regr",One Hundred acres,"Northerly & Southerly on the Ranges, Easterly on home lot Number 4 Partly & partly on home lot Number 43, Westerly on home lot Number 38, Southwest Corner is a Stake and Stones from thence it Runs North (83°30'), From thence East (87 rod) & 4 tenths of a rod to a Stake and Stones, From thence South (100 rod) to a Stake and Stones, From thence West (87 rod) to the first Mentioned Corner",A High way of Two rod wide being Reserved out at the South Side of Said lot,Hatfield,Hampshire,,"April 11, 1759","August 30, 1759"
000001-0303,"Then Silas Lochmer the grantor of the foregoing instrument personally appearing acknowledged the same to be her free act and Deed before me Pyngan Adams Justice Peace the 3 Novemr 1755 and Recorded from the Original Edw. Pynchon Regr. Know all men by these Presents that we Abigail Day, John Day, Joel Day & David Day all of Springfield in the County of Hampshire & Province of Massachusetts Bay in new England husbandman & Yeoman for and in consideration of the Sum of Ten Pounds thirteen Shillings & sixpence to us in hand before the Delivery hereof well and truly paid by Nathaniel Williston of ye Town County & Province aforesaid (signed the Receipt whereof we do hereby acknowledge) Have given Granted bargained and sold and By these Presents Do give grant bargain sell Alien Enfeoffe convey and confirm unto the said Nath Williston his Heirs and assigns forever, The one quarter part of a Certain Tract or parcel of land lying and being in ye Township of Springfield aforesaid and nigh unto the Great River it being in Chickabee field and is known by ye Name of Darbys meadow ye whole of which contains Eight acres & one quarter which is butted & bounded as followeth viz Northerly on Benjamin Ashleys land westerly on the field fence Southerly on John Morgans land and Easterly on land belonging to the heirs of James Miggs Decd but Nevertheless it is to be Understood that Martha Dortha of said Springfield widow is to have the use & improvement of one third part of ye two acres & ten rods of land here sold or one quarter part of ye Eight acres & one quarter during the term of her Natural Life. To Have and To Hold the said Granted and bargained premises with all the commodities Privileges and appurtenances to the same belonging or anyways appertaining to him the said Nath Williston his Heirs and Assigns to his only proper use and benefit forever. And we the said Abigail John Joel and David & our Heirs Executors and Administrators do hereby Covenant Grant and Agree to and with the said Nath Williston his Heirs and assigns That Untill the Delivery hereof we were the lawful owners",Deed,"Abigail Day, John Day, Joel Day, David Day",Nathaniel Williston,"Pyngan Adams Justice Peace, Edw. Pynchon Regr",One quarter part of eight acres & one quarter,"Northerly on Benjamin Ashley's land, Westerly on the field fence, Southerly on John Morgan's land, Easterly on land belonging to the heirs of James Miggs","Known as Darby's meadow, located near the Great River in Chickabee field",Springfield,Hampshire,,,"November 3, 1755"
000001-0291,"For and by virtue of these Presents lawfully peaceably and quietly have hold use Occupy possess and Enjoy the said Demised and bargained premises with the appurtenances free and clear and freely and clearly acquitted Exonerated and Discharged of from all and all manner of former or other gifts grants bargains Sales lease Mortgages Wills Estate Jointures Dowers Judgments Executions or Incumbrances of what name or Nature soever that might in any measure or Degree Obstruct or make Void this Present Deed. Furthermore I the said Jonathan Dwight for my Self my Heirs Executors and administrators Do covenant and Engage the above Demised Premises to him the said Nathaniel Dwight his Heirs and assigns against the lawful Claims or Demands of any Person or Persons whatsoever forever hereafter To Warrant secure and Defend by these Presents. In Witness whereof I have hereunto set my hand and Seal the Twenty fifth Day of April Anno Domini 1755. Signed Sealed and Delivered In presence of us Joseph Morton Anna Morton [Jonathan Dwight & Seal] Suffolk SS. Morton May 30th 1755 Personally appeared Mr. Jonathan Dwight herein Named & acknowledged this Instrument by him Executed to be his Voluntary act & Deed Before me Wm Skinner Just. Peace Rec'd Septembr 28th 1755 and Recorded from the Original Edward Pynchon Regr. To all People to whom these Presents Shall Come Greeting: Know ye that we Jonathan Old of Springfield (so named) Martha Old of said Springfield Spinster Single woman John McClain of Sheffield & Livania his wife (the said John and Might & his wife) all in the County of Hampshire For and in consideration of the Sum of Five pounds lawful money to us in hand before the Ensealing hereof well and truly paid by Nathaniel Clark of Springfield in the County aforesaid Yeoman, the Receipt whereof we do hereby Acknowledge and our selves therewith fully",Deed,"Jonathan Dwight, Jonathan Old, Martha Old, John McClain, Livania McClain","Nathaniel Dwight, Nathaniel Clark","William Skinner, Justice of Peace, Edward Pynchon, Register",,,Demised and bargained premises with the appurtenances,"Springfield, Sheffield","Hampshire, Suffolk",,"April 25, 1755","September 28, 1755"
000001-0548,Property deed from Daniel Bridger to Obadiah Dickinson with warranty provisions,Deed/Property Transfer,Daniel Bridger,Obadiah Dickinson,"Charles Phelps (Justice of Peace), Edward Lynchon (Register)",Not specified,Not specified in visible text,Referred to as 'said Demised and bargained premises with the appurtenances',Not specified in main deed,Hampshire (mentioned in subsequent document),,"March 27, 1759","April 14, 1759"
000001-0074,"I acknowledge by these presents being sold to the Sr Abraham Skinner by my Sr Husband in his lifetime and that the Sr Abraham Skinner paid my Sr Husband for it the Sr Abraham Skinner having also this day given me a Discharge of all Demands against the Estate of my Sr Husband & of all that he paid for the Sr labor as guardian of the Estate of my Sr Husband & I do hereby for the consideration aforesaid Remise and Release to the Sr Abraham Skinner all my Right of Dower & Thirds in Sr lands & Tenements. Witness my hand and seal this Sixth Day of May A.D. 1756. Signed Sealed & Delivered in presence of Hannah Skinner [Seal] Jabez Hendricks Eben Jones. Stamp Shire SS May 6th 1756 Then the above named Hannah Skinner acknowledged the foregoing Instrument to be her act and Deed. Cor Josiah Dwight Just Peace. Recd May 6th 1756 & Recorded from the Original. Edw Pynchon Regr. To all People to whom These Presents Shall Come Greeting Know ye that I Thomas King of Brimfield in the County of Hampshire in the Province of the Massachusetts Bay in new England Blacksmith, For & in Consideration of the Sum of lawful money to me in hand before the Ensealing hereof well & truly paid by Anthony Needham of said Brimfield in the County & Province aforesaid Husbandman, The Receipt whereof I do hereby acknowledge and my Self therewith fully satisfied Contented & paid, Have Given Granted bargained Sold aliened Released Conveyed and Confirmed & by these presents do freely & Clearly & absolutely Give Grant bargain Sell alien Release Convey & Confirm unto him the Said Anthony Needham his Heirs & assigns forever Seven acres & half of land lying & situate in Brimfield aforesaid being a part of the Sixth Division on Samuel Kings Right & was laid out to the Said Tho King, Said land lyeth near to Robert Moultons new meadow lot so called adjoining to the same part Easterly & Southeasterly of the Said Robert Moultons lot as aforesaid the Said Seven acres & half is at large butted...",Deed with Release of Dower,"Hannah Skinner, Thomas King","Abraham Skinner, Anthony Needham","Josiah Dwight, Justice of Peace, Edw Pynchon, Register",Seven acres & half,"Near to Robert Moultons new meadow lot, Adjoining to the same part Easterly & Southeasterly of the Said Robert Moultons lot, Part of the Sixth Division on Samuel Kings Right",Being a part of the Sixth Division on Samuel Kings Right & was laid out to the Said Tho King,Brimfield,Hampshire,,"May 6, 1756","May 6, 1756"
000001-0774,"Know all men by these Presents that I Job Phelps of Westfield in Hampshire County & Province of Massachusetts Bay in new England for & in Consideration of five Shillings lawful money Recd of James Moor of Simsbury in Hartford County & Colony of Connecticut... Do therefore Give Grant Sell Convey unto ye said James Moor & unto his Heirs & assigns forever... one certain parcel of Land lying in ye Township of Westfield... containing by Estimation about Twenty acres... Signed Sealed & Dd In Presence of Jos. Willcockson Jund, Mary X Willcockson mark... Job Phelps (Seal) In Simsbury in Hartford County on ye 2d Day of year above written personally appeared ye above named Job Phelps & acknowledged ye foregoing Instrument to be his free act & Deed Before me Jos. Willcockson Just Peace Recd April 25 1755 & Recorded from the Original Edwd Pynchon Regr",Deed (Land Transfer),"Job Phelps of Westfield, Ebenezer Robbins of Suffield",James Moor of Simsbury,"Jos. Willcockson, Justice of Peace, Edwd Pynchon, Registrar",about Twenty acres (first parcel); about forty four acres (second parcel),"bound westerly by land laid out to Lieut. Noble, bound northerly by land laid out to James Dewey, bound easterly by common land",56th Lot in Number (mentioned in second deed),Westfield,Hampshire County (property location); Hartford County (grantee location),,"June 13, 1754","April 25, 1755"
000001-0124,Know all men by these Presents that I Japheth Chapin of a Place called new Marlborough in the County of Hampshire and Province of the Massachusetts Bay in new England Yeoman...,Deed,Japheth Chapin,Peter Chapin,"Jabez Ward, Justice of Peace, Elias Lymchon, Register",,bounded to ye said Jonathan in ye Proprietors book of Records for said new Marlborough for No two,"second Division lot of Land situate in new Marlborough, lot No twenty five, drawn on the Original Right of Jonathan How Jun.",New Marlborough,Hampshire,,"January 10, 1755","June 27, 1755"
000001-0100,,,,,,,,,,,,,
000001-0755,To all People to whom these presents shall come Greeting Know ye that Thomas Dickenson of Deerfield in the County of Hampshire and Province of Massachusetts Bay in New England... for and in consideration of the sum of money to me in hand before the Ensealing hereof well and truly paid by Elijah Williams Esq. and David Field Gentleman both of Deerfield in the County aforesaid... do hereby acknowledge and am fully therewith fully satisfied contented and thereof... do give grant bargain sell alien convey and confirm unto them the said Elijah Williams and David Field... a Tract of Land in Deerfield aforesaid in the County of Hampshire called the North Burrying North of Deerfield Street containing Eighty acres...,Deed of Sale,Thomas Dickenson,"Elijah Williams, David Field","John Allen, John Hawley",80 acres,North Burrying North of Deerfield Street,Tract of Land in Deerfield,Deerfield,Hampshire,,"May 27, 1752","March 20, 1760"
000001-0839,Heirs Executors and administrators do Covenant Promise and Grant to and with the said Lemuel Bates his Heirs and assigns that before the Ensealing hereof I am the true Sole and Lawful owner of the above bargained Premises and am lawfully seized and Possessed of the same in my own proper Right as a good perfect and absolute Estate of Inheritance in Fee Simple and have in my Self good Right full power and lawful authority to grant bargain Sell convey and confirm said bargained premises in manner as aforesaid and that the said Lemuel Bates his Heirs and assigns Shall and may from time to time and at all times forever hereafter by force and Virtue of these Presents lawfully peaceably and quietly have hold use occupy Possess and Enjoy the said Demised and bargained Premises with the appurtenances free and Clear and freely and Clearly acquitted Exonerated and Discharged of from all and all manner of former or other gifts grants bargains sales leases Mortgages Wills Entails Jointures Dowries judgments Executions or Incumbrances of what kind or Nature soever that might in any measure or Degree Obstruct or make Void this Present Deed. Furthermore I the said Charles Dewey for my Self Heirs Executors and administrators Do Covenant and Engage the above Demised Premises to him the said Lemuel Bates his Heirs and assigns against the Lawful Claims or Demands of any Person or Persons whatsoever forever hereafter to Warrant Secure and Defend by these presents. In Testimony whereof I have hereunto Set my hand and Seal this first Day of May Anno Domini 1756 & in the 29th Year of his Majesties Reign &c [Signed] Charles Dewey & Seal [Witness] Isaac Owen Abiel Owen Hartford County ss. Windsor May 1 Day A.D. 1756 Then personally appeared Charles Dewey Signer and Sealer of the within Deed and acknowledged the same to be his free act & Deed Before Daniel Bissell Justice Recd April 21st 1760 & Recorded from the original P. Edwd Pynchon Regr. Know all men by these presents that I Samuel Brown of Northbridge in the county of Hampshire in the province of the Massachusetts Bay in New England Gentleman for and in Consideration of the Sum of Thirty pounds lawful money paid me by Moses Graves of Hatfield in the County and Province aforesaid Gentleman the Receipt whereof I do hereby acknowledge Do hereby give grant convey to the said Moses Graves his Heirs and assigns forever A Certain Tract or tract of land lying & being in West Hoosuck Township so called being a Sixty third part of said Township & to House Lot No. 54 Together with all the after Divisions or Shares laid out or to be laid out,Deed,"Charles Dewey, Samuel Brown","Lemuel Bates, Moses Graves","Daniel Bissell, Justice, Edwd Pynchon, Registrar",,,"In West Hoosuck Township, being a sixty third part of said Township & House Lot No. 54 together with all the after Divisions or Shares laid out or to be laid out","Windsor, Northbridge, Hatfield, West Hoosuck Township","Hartford County, Hampshire County",,"May 1, 1756","April 21, 1760"
000001-0418,"Part of a tract of land in a place called Shenewah Mountain, the same being what was conveyed to me by a Deed from the Indian Claims, together with fish ponds and others, To Hold the above described premises with all the privileges and appurtenances thereunto belonging or in any wise appertaining to him the said Jacob Clingiler, his heirs or assigns to his or their own proper use benefit and behoof. And that he the said Jacob Clingiler his Heirs &c shall enjoy, possess and improve the same without any Molestation or disturbance from any person from by or under me. In Witness whereof I have hereto set my hand and fixed my Seal this Second Day of December and in the 31st year of His Majesty's Reign. 1757. Signed Sealed & Delivered in Presence of Joseph Dwight, Abigail Dwight. Ebenezer Pund (Seal). Hampshire ss: Dec 2nd 1757 Ebenezer Pund the subscriber to the foregoing Instrument Acknowledged the same to be his act & Deed. Coram Joseph Dwight Just. Peace. Rec'd April 18th 1759 & Recorded from the Original. Edw. Pynchon Reg'r. To all People to whom these Presents shall come Greeting: Know ye that I Ephraim Treadwell of Farmington in the County of Hartford and Colony of Connecticut in New England, For and in consideration of the sum of One Hundred and fifty five pounds four shillings in Lawfull money to me in hand paid before the Ensealing hereof by Michael Holcomb of Simsbury in the County afores'd the Receipt whereof I do hereby acknowledge and am fully satisfied contented and paid, Have given granted bargained sold aliened released and confirmed, and by these presents do freely clearly and absolutely give grant bargain sell alien release convey and confirm unto him the s'd Michael Holcomb his Heirs and assigns forever, a certain piece or parcel of land lying and being in the township of Sheffield containing one Hundred and three acres of land bounded Southwesterly by Stakes and Stones joyning on the town line and Easterly by the land formerly belonging to Ephraim Treadwell and Joseph Seager, thence left to be Marked, then Northerly to a Stake and Stone and by the land of Benjamin Sackett and the s'd Ephraim Treadwell, then running westerly to the land of Zechariah Walker and John Bell, TO HAVE and TO HOLD all the before granted premises with the appurtenances and Privileges",Land Deed,"Ebenezer Pund, Ephraim Treadwell","Jacob Clingiler, Michael Holcomb","Joseph Dwight, Just. Peace, Edw. Pynchon, Reg'r",103 acres,"Southwesterly by Stakes and Stones joyning on the town line, Easterly by the land formerly belonging to Ephraim Treadwell and Joseph Seager, Northerly to a Stake and Stone and by the land of Benjamin Sackett and Ephraim Treadwell, Westerly to the land of Zechariah Walker and John Bell",A tract of land in Shenewah Mountain and a parcel of land in the township of Sheffield,Sheffield,Hartford,,"December 2, 1757","April 18, 1759"
000001-0335,"and Engage the above Demised Premises to him the said Samuel Wells his Heirs and assigns against the lawful Claims or Demands of any person or persons whatsoever forever hereafter To Warrant Secure and Defend By these presents PROVIDED always - and it is the true Intent of this writing that as I am justly indebted to him the said Samuel Wells the Sum of Four Hundred & two pounds and Ten Shillings £402.10 the payment whereof I have also given my Obligation bearing Even Date with these presents. If therefore I my Heirs Executors or Admrs shall well and truly pay or cause to be paid to him the said Samuel Wells his Heirs Executors or Admrs or assigns the sum of Two Hundred pounds abovesaid in the Month of March A.D. seventeen hundred & sixty or before with lawful Interest and the sum of one Hundred pounds more on or before the last day of March A.D. 1761 with lawful Interest therefore from this time and one Hundred and two pounds & ten shillings more with lawful Interest from this time on or before the last Day of March A.D seventeen Hundred & sixty two Then this Deed and the Obligation aforementioned is to be Utterly Void but Otherwise the Deed aforesaid is to remain in full force anything in this Deed to the Contrary in any wise Notwithstanding. In testimony whereof I the said Henry Steward have hereunto set my Hand & affixed my Seal this Sixth Day of October A.D Seventeen hundred & fifty Eight. Signed Sealed and Delivered & Delivered in presence of [Henry Steward] [seal] Joshua Gardiner Benj. Kent Suffolk ss October 6, 1758 Mr Henry Steward acknowledged the foregoing Instrument to be his Free Act & Deed Before me S. Danforth J. Pac. Recd. Febry 21st 1759 & Recorded from the Original by Ezek Synchon Regr. Know all men by these presents that I James Locke of Hardwick so called in the County of Hampshire and Province of the Massachusetts Bay in new England Housewright In Consideration of Sixty pounds lawful money paid me by Joseph Perry of Boston in the County of Suffolk and province aforesaid Husbandman the Receipt whereof I do hereby Acknowledge and give to the said Joseph [and his Heirs] Four certain Third Divisions Lots lying & being in Hard Town aforesaid (viz) the first Third Division Lott belonging",Deed with Mortgage Provision and Receipt,"Henry Steward, James Locke","Samuel Wells, Joseph Perry","S. Danforth J. Pac., Ezek Synchon Regr",,,Four certain Third Divisions Lots lying & being in Hard Town (first document); Four certain Third Division Lots in Hardwick (second document),"Hardwick, Boston","Hampshire, Suffolk",,"October 6, 1758 (first document)","February 21, 1759"
000001-0307,"Hampshire Province of the Massachusetts Bay Between Sheffield & Sheffield, Namely one House lot N°13 lying on Town Hill and is bounded as by the Proprietors books of Record may appear Containing forty acres more or less To Have and To Hold the above Granted Premises with all privileges to the same belonging or appertaining to him the said Benjamin Dimuck & to his Heirs & assigns forever to his and their own use and behoof forever of the said William Manley for my Self my Heirs Executors and Administrators Do Covenant with the said Benjamin Dimuck his Heirs & assigns that at & until the Ensealing hereof I am lawfully Seized of the above Premises in my own Right in Fee Simple and have in my Self good Right to convey the Same in manner as aforesaid and that it is free from all Encumbrances and I do bind my Self and Heirs forever to Warrant and Defend the above Granted Premises to him the Benjamin Dimuck and to his Heirs or assigns forever against the lawful Claims of Every person or persons whatsoever In Witness whereof I the said William Manley have hereunto set my Hand and Seal this twenty Sixth Day of August 1757. Signed Sealed and Delivered In Presence of [William Manley & Seal] Ebenezer Manley Hachaliah Smith. Hartford County ss. Windsor September 8, 1757 William Manley Signer & Sealed of the above written Deed of Sale personally appeared and acknowledged the above written Instrument to be his free voluntary act & Deed. Before me Eben Mills Just Peace. Recd Novemr 21st 1758 & Recorded from the Original. Edw Pynchon Regr. Know all men by these presents that I Abigail Blanchard of Palmer in the County of Hampshire Province of the Massachusetts Bay in new England Single woman & spinster for in Consideration of the just Sum of Ten Pounds to me in hand paid before the Delivery hereof by Aaron King of said Palmer Yeoman Have Given Granted bargained and Sold and do by these presents give grant bargain Sell Alien and fully freely and absolutely convey and confirm unto him the said Aaron King his Heirs and Assigns forever one Certain Tract or quantity of land in said Palmer being part of the lot of land said Aaron now lives on; also being one tenth part of the Hundred Acre",Deed of Sale,"William Manley, Abigail Blanchard","Benjamin Dimuck, Aaron King","Eben Mills, Justice of Peace, Edw Pynchon, Register",forty acres more or less (first deed); one tenth part of the Hundred Acre (second deed),bounded as by the Proprietors books of Record may appear,House lot N°13 lying on Town Hill (first deed); part of the lot of land said Aaron now lives on (second deed),Sheffield (first deed); Palmer (second deed),Hampshire,,"August 26, 1757","November 21, 1758"
000001-0610,"Know all men by these Presents that I William Searl of Palmer in the County of Hampshire in the Province of the Massachusetts Bay in new England Yeoman for consideration of Twenty Six pounds lawful money paid to me by Nathaniel Mower of Brimfield in the County and Province aforesaid, the receipt whereof I do hereby acknowledge do hereby give grant and convey to the said Nathaniel Mower his Heirs, a certain Tract or parcel of land lying in Palmer township as followeth, beginning at a heap of Stones the Northwest corner being Eastward of Sewell next to James Moors line (now Easterly to a white oak tree which is my North East corner) then Southerly on my land twenty rods to a Stake and Stones, then westerly the length of forty rods on the westerly of said farm from the first mentioned corner as shall contain Twenty acres of land to a Stake and Stones. To Have and To Hold the same to the said Nathaniel Mower his Heirs and assigns forever... I William Searl for me my Heirs and I covenant with the said Nathaniel Mower his Heirs and assigns that I am lawfully seized in fee of the premises that they are free of all encumbrances that I have good right to sell and convey the same to the said Nathaniel Mower... To Hold as aforesaid and that I will Warrant and Defend the same to the said Nathaniel Mower with all privileges thereunto belonging his Heirs and assigns forever against the lawful Claims and Demands of all persons. As Witness my hand this Eight Day of March one thousand seven Hundred and fifty Nine and in the Thirty Second Year of His Majesty's Reign. Signed Sealed and Delivered in presence of us William Searl [Seal] James Thompson Joseph Lambard Hampshire SS. Brimfield March the 24th 1759 Then William Searl subscriber to the aforegoing Instrument appeared & acknowledged the same to be his act & Deed Before John Sherman Just. Peace Recd May 14th 1759 & Recorded from the Original by Edwd Pynchon Regr",Land Deed,William Searl,Nathaniel Mower,"John Sherman, Justice of Peace, Edwd Pynchon, Register",Twenty acres,"Beginning at a heap of Stones the Northwest corner being Eastward of Sewell next to James Moors line, Easterly to a white oak tree which is my North East corner, Southerly on my land twenty rods to a Stake and Stones, Westerly the length of forty rods on the westerly of said farm",A certain Tract or parcel of land lying in Palmer township,"Palmer, Brimfield",Hampshire,,"March 8, 1759","May 14, 1759"
